            Product Name,            Price,            Discount(%),No. of Sells,No. of Review,            Location,            Product Link,            Product ID,            SKU,,
Solid  White Colour Soft & Comfortable T-shirt,à§³ 88,56% Off,165 sold,-2,Dhaka,//www.daraz.com.bd/products/-i343274497.html,343274497,343274497_BD-2127546334,,
Polyester Short Sleeve T-Shirt for Men,à§³ 90,61% Off,N/A,N/A,Dhaka,//www.daraz.com.bd/products/-i391804310.html,391804310,391804310_BD-1954985152,,
Tara Best Tshirt Buy T-Shirts For Men In Bangladesh,à§³ 89,55% Off,43 sold,-8,Dhaka,//www.daraz.com.bd/products/-i405129671.html,405129671,405129671_BD-2009361819,,
Mash Fabrics T-shirt for summer,à§³ 229,65% Off,426 sold,-42,Rajshahi,//www.daraz.com.bd/products/-i323349959.html,323349959,323349959_BD-1543972723,,
White Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,à§³ 372,43% Off,34 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i392938577.html,392938577,392938577_BD-1959138979,,
premium quality t-shirt for men no girlfriend no Problem,à§³ 169,32% Off,7 sold,-1,Dhaka,//www.daraz.com.bd/products/-i389937991.html,389937991,389937991_BD-1946021200,,
New White simple Soft & Comfortable T-shirt For Men,à§³ 90,68% Off,401 sold,-21,Dhaka,//www.daraz.com.bd/products/-i361013778.html,361013778,361013778_BD-1783270857,,
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,à§³ 96,52% Off,11 sold,-4,Dhaka,//www.daraz.com.bd/products/-i409868007.html,409868007,409868007_BD-2025936933,,
Black Printed Round Neck Summer Combo T-Shirt & Pant for Men - Step Out in Style - Perfect For All Season,à§³ 245,42% Off,1.9K sold,-118,Dhaka,//www.daraz.com.bd/products/-i302766777.html,302766777,302766777_BD-1347516354,,
Mosjid Design best Premium T-Shirts For Men,à§³ 89,55% Off,53 sold,-6,Dhaka,//www.daraz.com.bd/products/-i405288167.html,405288167,405288167_BD-2008812372,,
Special forces Round neck T-shirt for men's,à§³ 420,13% Off,1.0K sold,-75,Rangpur,//www.daraz.com.bd/products/-i347906842.html,347906842,347906842_BD-1802523079,,
Stylist premium Quality Summer T-Shirt For Men - T Shirt,à§³ 185,29% Off,8 sold,-1,Dhaka,//www.daraz.com.bd/products/-i389955546.html,389955546,389955546_BD-1946083429,,
Grey Cotton Short Sleeve T-Shirt for Men,à§³ 157,21% Off,3.4K sold,-278,Dhaka,//www.daraz.com.bd/products/-i136918705.html,136918705,136918705_BD-1059194589,,
Green Printed Exclusive Summer Combo T-Shirt & Pant,à§³ 315,32% Off,1.6K sold,-135,Dhaka,//www.daraz.com.bd/products/-i344012170.html,344012170,344012170_BD-1678250885,,
"Indispensable Quality and Durability - Half Sleeve Chinese Microfibre T-Shirts for Men - Innovative, Easy to Care, and Long-Lasting",à§³ 90,61% Off,10 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391440815.html,391440815,391440815_BD-1953294460,,
Plen Marshmallow Trendy t- shirt Cat design,à§³ 95,52% Off,35 sold,-2,Dhaka,//www.daraz.com.bd/products/-i411672551.html,411672551,411672551_BD-2036824703,,
T-SHIRT dream smile design Sky blue colour,à§³ 96,52% Off,490 sold,-36,Dhaka,//www.daraz.com.bd/products/-i361185449.html,361185449,361185449_BD-1784012317,,
